"UNIPROT","Symbol","logFC","adj.P.Val","degree","betweenness","CDS","rank_base","rank_sd","rank_min","rank_max","robustness_label","Symbol_biomat","Protein_Description","GO_BP","GO_CC","GO_MF","Theme_Vesicle_Trafficking","Theme_Motility_Signaling","Theme_Cell_Adhesion","Theme_Immune_Evasion","Num_Themes_Match","Localization","PubMed_hits"
"P16070","CD44",1.70946175156405,0.000708128751407232,32,208.434558215509,0.483750355293662,16,0.77,14,18,"robust_candidate","CD44","CD44 molecule (IN blood group) [Source:HGNC Symbol;Acc:HGNC:1681]","cell adhesion; negative regulation of apoptotic process; cell migration; regulation of apoptotic process; cytokine-mediated signaling pathway; anatomical structure morphogenesis; system development; cell-cell adhesion; cartilage development; T cell activation; positive regulation of heterotypic cell-cell adhesion; cell-matrix adhesion; inflammatory response; wound healing, spreading of cells; cellular response to fibroblast growth factor stimulus; negative regulation of DNA damage response, signal transduction by p53 class mediator; negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator; hyaluronan catabolic process; regulation of lamellipodium morphogenesis; positive regulation of monocyte aggregation","membrane; extracellular region; plasma membrane; cell projection; cytosol; Golgi apparatus; focal adhesion; lamellipodium membrane; protein-containing complex; microvillus; secretory granule membrane; macrophage migration inhibitory factor receptor complex","hyaluronic acid binding; protein binding; transmembrane signaling receptor activity; collagen binding; cytokine receptor activity",FALSE,TRUE,TRUE,TRUE,3,"extracellular",200
"P16144","ITGB4",1.98351511288602,0.000273634882900169,22,130.628560563923,0.494733180643667,14,0.72,13,15,"robust_candidate","ITGB4","integrin subunit beta 4 [Source:HGNC Symbol;Acc:HGNC:6158]","cell communication; cell-matrix adhesion; integrin-mediated signaling pathway; hemidesmosome assembly; cell motility; autophagy; cell adhesion; mesodermal cell differentiation; response to wounding; cell migration; cell-cell adhesion; cell adhesion mediated by integrin; skin morphogenesis; nail development; myelination in peripheral nervous system; filopodium assembly; trophoblast cell migration","membrane; integrin complex; plasma membrane; nuclear membrane; anchoring junction; nucleolus; cell junction; hemidesmosome; cell leading edge; receptor complex; focal adhesion; basement membrane","protein binding; metal ion binding; G protein-coupled receptor binding; integrin binding; neuregulin binding",FALSE,TRUE,TRUE,FALSE,2,"membrane",8
"P16671","CD36",-0.261180305008047,0.613529932435999,14,95,0.18390966611243,50,1.18,47,51,"robust_candidate","CD36","CD36 molecule (CD36 blood group) [Source:HGNC Symbol;Acc:HGNC:1663]","lipid transport; cell adhesion; receptor internalization; positive regulation of NLRP3 inflammasome complex assembly; positive regulation of angiogenesis; sensory perception of taste; triglyceride transport; negative regulation of angiogenesis; energy homeostasis; response to lipid; lipid storage; lipoprotein transport; fatty acid transport; positive regulation of protein localization to plasma membrane; positive regulation of canonical NF-kappaB signal transduction; positive regulation of gene expression; positive regulation of nitric oxide biosynthetic process; positive regulation of reactive oxygen species biosynthetic process; cellular response to amyloid-beta; blood coagulation; positive regulation of cytosolic calcium ion concentration; lipid metabolic process; positive regulation of cell-matrix adhesion; response to fatty acid; long-chain fatty acid import into cell; amyloid fibril formation; fatty acid metabolic process; cellular response to diacyl bacterial lipopeptide; amyloid-beta clearance by cellular catabolic process; receptor-mediated endocytosis; low-density lipoprotein particle clearance; regulation of protein-containing complex assembly; cholesterol transport; phagocytosis, engulfment; cellular response to low-density lipoprotein particle stimulus; long-chain fatty acid transport; long-chain fatty acid import across plasma membrane; short-chain fatty acid transport; cGMP-mediated signaling; intestinal cholesterol absorption; regulation of lipopolysaccharide-mediated signaling pathway; regulation of toll-like receptor signaling pathway; plasma lipoprotein particle clearance; intestinal absorption; response to linoleic acid; regulation of action potential; oxidised low-density lipoprotein particle clearance; lipid transport across blood-brain barrier; MAPK cascade; phagocytosis, recognition; response to bacterium; apoptotic cell clearance; positive regulation of MAPK cascade; defense response to Gram-positive bacterium; positive regulation of phagocytosis, engulfment; positive regulation of macrophage cytokine production; cellular response to bacterial lipopeptide; cellular response to lipopolysaccharide; cellular response to lipoteichoic acid; negative regulation of transcription by RNA polymerase II; cell surface receptor signaling pathway; negative regulation of gene expression; positive regulation of blood coagulation; cellular response to oxidative stress; response to stilbenoid; low-density lipoprotein particle mediated signaling; cellular response to hydroperoxide; regulation of removal of superoxide radicals; positive regulation of blood microparticle formation; positive regulation of reactive oxygen species metabolic process","membrane; extracellular space; plasma membrane; Golgi apparatus; collagen trimer; membrane raft; specific granule membrane; receptor complex; endocytic vesicle membrane; brush border membrane; platelet alpha granule membrane; caveola; phagocytic vesicle; cell periphery; apical part of cell","protein binding; amyloid-beta binding; lipid binding; cargo receptor activity; protein-containing complex binding; low-density lipoprotein particle receptor activity; low-density lipoprotein particle binding; transforming growth factor beta binding; lipoprotein particle binding; long-chain fatty acid transmembrane transporter activity; scavenger receptor activity; short-chain fatty acid transmembrane transporter activity; Toll-like receptor binding; oxidised low-density lipoprotein particle receptor activity; oleate transmembrane transporter activity; high-density lipoprotein particle binding; lipoteichoic acid immune receptor activity",TRUE,FALSE,TRUE,TRUE,3,"extracellular",51
"P17301","ITGA2",3.94950109445937,4.56355346937978e-05,22,35.6218145321771,0.689427505194107,5,0,5,5,"robust_candidate","ITGA2","integrin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:6137]","cell adhesion; integrin-mediated signaling pathway; cell adhesion mediated by integrin; symbiont entry into host cell; cell-matrix adhesion; mesodermal cell differentiation; cell-substrate adhesion; cell-cell adhesion; blood coagulation; extracellular matrix organization; animal organ morphogenesis; response to hypoxia; positive regulation of leukocyte migration; substrate-dependent cell migration; hypotonic response; female pregnancy; response to xenobiotic stimulus; positive regulation of epithelial cell migration; response to amine; response to muscle activity; positive regulation of smooth muscle cell migration; mammary gland development; positive regulation of cell projection organization; positive regulation of collagen biosynthetic process; response to L-ascorbic acid; collagen-activated signaling pathway; skin morphogenesis; positive regulation of translation; positive regulation of cell adhesion; positive regulation of smooth muscle contraction; focal adhesion assembly; positive regulation of smooth muscle cell proliferation; positive regulation of positive chemotaxis; detection of mechanical stimulus involved in sensory perception of pain; positive regulation of transmission of nerve impulse; positive regulation of phagocytosis, engulfment; response to parathyroid hormone; cellular response to mechanical stimulus; cellular response to estradiol stimulus","integrin complex; membrane; focal adhesion; plasma membrane; integrin alpha2-beta1 complex; presynapse; axon; cell projection; axon terminus; basal part of cell; perinuclear region of cytoplasm","metal ion binding; protein binding; virus receptor activity; protein-containing complex binding; collagen binding; signaling receptor activity; amyloid-beta binding; heparan sulfate proteoglycan binding; integrin binding; laminin binding",FALSE,TRUE,TRUE,FALSE,2,"membrane",10
"P18827","SDC1",-2.09656178108388,0.35738145382966,14,4.87380952380952,0.332493704087498,31,0.69,29,31,"robust_candidate","SDC1","syndecan 1 [Source:HGNC Symbol;Acc:HGNC:10658]","positive regulation of exosomal secretion; cell migration; positive regulation of extracellular exosome assembly; canonical Wnt signaling pathway; receptor-mediated endocytosis; myoblast development; striated muscle cell development","membrane; extracellular region; plasma membrane; lysosomal lumen; Golgi lumen","protein binding; identical protein binding; cargo receptor activity",TRUE,TRUE,FALSE,FALSE,2,"extracellular",16
"P21926","CD9",-1.67772995643685,0.0436006914192415,18,8.94920634920635,0.348949336154991,28,0.55,27,29,"robust_candidate","CD9","CD9 molecule [Source:HGNC Symbol;Acc:HGNC:1709]","nervous system development; cell differentiation; cell adhesion; single fertilization; receptor internalization; platelet activation; myoblast fusion involved in skeletal muscle regeneration; fusion of sperm to egg plasma membrane involved in single fertilization; sperm-egg recognition; cellular response to low-density lipoprotein particle stimulus; negative regulation of platelet aggregation; glial cell migration; paranodal junction assembly; cell population proliferation; negative regulation of cell population proliferation; oligodendrocyte development; regulation of macrophage migration","membrane; extracellular region; extracellular space; plasma membrane; focal adhesion; endocytic vesicle membrane; extracellular vesicle; clathrin-coated endocytic vesicle membrane; platelet alpha granule membrane; protein-containing complex","protein binding; integrin binding",TRUE,TRUE,TRUE,FALSE,3,"extracellular",927
"P23229","ITGA6",1.56154925940134,0.000422556994861413,22,30.2864776468401,0.435864359949147,22,0.59,20,23,"robust_candidate","ITGA6","integrin subunit alpha 6 [Source:HGNC Symbol;Acc:HGNC:6142]","cell adhesion; integrin-mediated signaling pathway; cell-matrix adhesion; cell-substrate adhesion; positive regulation of GTPase activity; positive regulation of transcription by RNA polymerase II; positive regulation of cell migration; cell-cell adhesion; positive regulation of neuron projection development; skin morphogenesis; negative regulation of extrinsic apoptotic signaling pathway; positive regulation of apoptotic process; nail development; cell-substrate junction assembly; leukocyte migration","integrin complex; plasma membrane; membrane; focal adhesion; integrin alpha6-beta1 complex; integrin alpha6-beta4 complex","metal ion binding; protein binding; cadherin binding; signaling receptor activity; neuregulin binding",FALSE,TRUE,TRUE,FALSE,2,"membrane",13
"P23528","CFL1",1.08753009426028,0.00368134428070063,14,55.5711245573395,0.335052128361488,30,0.65,29,31,"robust_candidate","CFL1","cofilin 1 [Source:HGNC Symbol;Acc:HGNC:1874]","actin filament depolymerization; negative regulation of apoptotic process; actin polymerization or depolymerization; response to virus; cytoskeleton organization; regulation of cell morphogenesis; establishment of spindle localization; Rho protein signal transduction; actin cytoskeleton organization; actin filament severing; mitotic cytokinesis; positive regulation of embryonic development; positive regulation by host of viral process; neural crest cell migration; neural fold formation; actin filament organization; establishment of cell polarity; cell projection organization; response to amino acid; cell motility; protein import into nucleus; negative regulation of cell adhesion; response to activity; hippocampus development; actin filament fragmentation; positive regulation of cell growth; negative regulation of actin filament depolymerization; positive regulation of actin filament depolymerization; positive regulation of synaptic plasticity; negative regulation of actin filament bundle assembly; positive regulation of proteolysis; modulation of chemical synaptic transmission; negative regulation of unidimensional cell growth; positive regulation of focal adhesion assembly; positive regulation of dendritic spine development; regulation of dendritic spine morphogenesis; cellular response to interleukin-1; cellular response to interleukin-6; cellular response to tumor necrosis factor; cellular response to ether; cellular response to epidermal growth factor stimulus; negative regulation of dendritic spine maintenance; positive regulation of protein localization to cell leading edge; negative regulation of postsynaptic density organization; cellular response to insulin-like growth factor stimulus; negative regulation of cell motility; positive regulation of cell motility; positive regulation of establishment of cell polarity regulating cell shape; positive regulation of barbed-end actin filament capping","actin cytoskeleton; nucleus; cytoplasm; extracellular space; plasma membrane; membrane; cell projection; cytoskeleton; focal adhesion; lamellipodium membrane; axon; growth cone; lamellipodium; vesicle; cytosol; glutamatergic synapse; cell-cell junction; filopodium; cortical actin cytoskeleton; cell leading edge; mitochondrial membrane; neuronal cell body; dendritic spine; cofilin-actin rod; synaptic membrane","actin binding; protein binding; actin filament binding; signaling receptor binding; protein phosphatase binding; phosphatidylinositol bisphosphate binding",TRUE,TRUE,TRUE,TRUE,4,"extracellular",3
"P23588","EIF4B",0.574526441233903,0.466113663598838,4,0,0.0985403463323908,65,0.31,65,66,"robust_candidate","EIF4B","eukaryotic translation initiation factor 4B [Source:HGNC Symbol;Acc:HGNC:3285]","translation; translational initiation; formation of translation preinitiation complex; regulation of translational initiation; eukaryotic translation initiation factor 4F complex assembly","cytosol","RNA binding; nucleic acid binding; protein binding; translation initiation factor activity; ribosomal small subunit binding; RNA strand annealing activity; RNA strand-exchange activity",FALSE,FALSE,FALSE,FALSE,0,"intracellular",3
"P26006","ITGA3",3.22575578432546,4.77074827847492e-05,20,29.9531443135068,0.615239988292851,7,0,7,7,"robust_candidate","ITGA3","integrin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6139]","cell adhesion; regulation of signal transduction; cell differentiation; integrin-mediated signaling pathway; system development; system process; Rho protein signal transduction; neuron migration; memory; negative regulation of Rho protein signal transduction; exploration behavior; dendritic spine maintenance; heart development; response to xenobiotic stimulus; positive regulation of gene expression; positive regulation of epithelial cell migration; positive regulation of cell-substrate adhesion; positive regulation of neuron projection development; negative regulation of cell projection organization; response to gonadotropin; maternal process involved in female pregnancy; postsynapse organization; regulation of Wnt signaling pathway; mesodermal cell differentiation; positive regulation of protein localization to plasma membrane; cell-cell adhesion; nephron development; cell-matrix adhesion; regulation of transforming growth factor beta receptor signaling pathway; skin development; lung development; regulation of BMP signaling pathway; leukocyte migration; renal filtration","integrin complex; plasma membrane; membrane; cell projection; focal adhesion; filopodium membrane; anchoring junction; cell periphery; neuromuscular junction; postsynaptic membrane; presynaptic active zone membrane; glutamatergic synapse; growth cone; synapse; perinuclear region of cytoplasm; excitatory synapse; synaptic membrane; growth cone filopodium; integrin alpha3-beta1 complex; receptor complex","protein binding; metal ion binding; protein heterodimerization activity; protease binding; fibronectin binding; integrin binding; collagen binding; protein domain specific binding; laminin binding; protein-containing complex binding; signaling receptor activity",FALSE,TRUE,TRUE,FALSE,2,"membrane",6
"P26368","U2AF2",-0.326217418369012,0.618335529585652,4,0,0.0715177674142549,70,0.39,69,71,"robust_candidate","U2AF2","U2 small nuclear RNA auxiliary factor 2 [Source:HGNC Symbol;Acc:HGNC:23156]","mRNA processing; RNA splicing; negative regulation of mRNA splicing, via spliceosome; mRNA splicing, via spliceosome; positive regulation of RNA splicing; spliceosomal complex assembly; negative regulation of protein ubiquitination","nucleus; spliceosomal complex; nuclear speck; nucleoplasm; Prp19 complex; U2-type prespliceosome; U2AF complex","RNA binding; nucleic acid binding; protein binding; enzyme binding; molecular function inhibitor activity; poly-pyrimidine tract binding; pre-mRNA 3'-splice site binding; C2H2 zinc finger domain binding",FALSE,FALSE,FALSE,FALSE,0,"intracellular",6
"P26599","PTBP1",-0.766290933983903,0.0946828648384656,8,2.5,0.193142152291116,47,0.67,46,48,"robust_candidate","PTBP1","polypyrimidine tract binding protein 1 [Source:HGNC Symbol;Acc:HGNC:9583]","mRNA processing; RNA splicing; gene expression; negative regulation of mRNA splicing, via spliceosome; negative regulation of RNA splicing; negative regulation of mRNA metabolic process; regulation of RNA splicing; IRES-dependent viral translational initiation; negative regulation of muscle cell differentiation; regulation of cell differentiation; positive regulation of calcineurin-NFAT signaling cascade; neurogenesis; positive regulation of transcription by RNA polymerase II; negative regulation of neuron differentiation","nucleus; membrane; nucleoplasm; nucleolus","RNA binding; nucleic acid binding; protein binding; mRNA binding; pre-mRNA binding; poly-pyrimidine tract binding",FALSE,FALSE,FALSE,FALSE,0,"intracellular",11
"P28482","MAPK1",0.131577872102902,0.654468952507214,12,142.939253883371,0.165240604355345,54,0.95,52,56,"robust_candidate","MAPK1","mitogen-activated protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:6871]","protein phosphorylation; apoptotic process; cell surface receptor signaling pathway; cellular response to amino acid starvation; regulation of protein stability; regulation of transcription by RNA polymerase II; epidermal growth factor receptor signaling pathway; positive regulation of telomere maintenance; regulation of stress-activated MAPK cascade; stress-activated MAPK cascade; regulation of cytoskeleton organization; response to epidermal growth factor; caveolin-mediated endocytosis; regulation of Golgi inheritance; regulation of early endosome to late endosome transport; chemokine-mediated signaling pathway; intracellular signal transduction; chemotaxis; signal transduction; chemical synaptic transmission; peptidyl-threonine phosphorylation; positive regulation of neuroinflammatory response; learning or memory; MAPK cascade; interleukin-34-mediated signaling pathway; DNA damage response; heart development; animal organ morphogenesis; neural crest cell development; cytosine metabolic process; regulation of ossification; regulation of cellular pH; thyroid gland development; lipopolysaccharide-mediated signaling pathway; response to lipopolysaccharide; mammary gland epithelial cell proliferation; response to exogenous dsRNA; negative regulation of cell differentiation; thymus development; T cell receptor signaling pathway; B cell receptor signaling pathway; Bergmann glial cell differentiation; long-term synaptic potentiation; face development; lung morphogenesis; trachea formation; labyrinthine layer blood vessel development; cardiac neural crest cell development involved in heart development; cellular response to tumor necrosis factor; insulin receptor signaling pathway; Schwann cell development; response to nicotine; ERBB signaling pathway; ERBB2-ERBB3 signaling pathway; myelination; insulin-like growth factor receptor signaling pathway","nucleus; cytoplasm; plasma membrane; membrane; Golgi apparatus; nucleoplasm; mitochondrion; cytosol; cytoskeleton; focal adhesion; anchoring junction; synapse; ciliary basal body; cilium; microtubule cytoskeleton; late endosome; spindle; early endosome; centrosome; extracellular region; mitotic spindle; caveola; ficolin-1-rich granule lumen; endoplasmic reticulum lumen; azurophil granule lumen; pseudopodium","ATP binding; protein kinase activity; MAP kinase activity; transferase activity; nucleotide binding; protein serine/threonine kinase activity; kinase activity; DNA binding; protein binding; identical protein binding; phosphatase binding; RNA polymerase II CTD heptapeptide repeat kinase activity; phosphotyrosine residue binding",FALSE,TRUE,TRUE,FALSE,2,"extracellular",37
"P30153","PPP2R1A",0.691686750544797,0.0383105738920348,2,0,0.114068276710325,61,0.66,61,63,"robust_candidate","PPP2R1A","protein phosphatase 2 scaffold subunit Aalpha [Source:HGNC Symbol;Acc:HGNC:9302]","regulation of cell differentiation; intracellular signal transduction; chromosome segregation; meiotic sister chromatid cohesion, centromeric; negative regulation of hippo signaling; transcription by RNA polymerase II; regulation of growth; protein-containing complex assembly; female meiotic nuclear division; meiotic spindle elongation; mitotic sister chromatid separation; regulation of meiotic cell cycle process involved in oocyte maturation; positive regulation of extrinsic apoptotic signaling pathway in absence of ligand; T cell homeostasis; negative regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction; transcription elongation by RNA polymerase II; spindle assembly","nucleus; cytoplasm; plasma membrane; membrane; cell projection; mitochondrion; cytosol; chromosome; dendrite; FAR/SIN/STRIPAK complex; chromosome, centromeric region; neuron projection; microtubule cytoskeleton; neuronal cell body; chromatin; synapse; glutamatergic synapse","protein binding; protein heterodimerization activity; protein phosphatase regulator activity; protein serine/threonine phosphatase activity; protein antigen binding",FALSE,FALSE,FALSE,FALSE,0,"membrane",1
"P31431","SDC4",3.50413506464376,0.0042667087774112,6,0,0.461815906048611,19,1.21,16,22,"robust_candidate","SDC4","syndecan 4 [Source:HGNC Symbol;Acc:HGNC:10661]","positive regulation of exosomal secretion; cell migration; positive regulation of extracellular exosome assembly; neural tube closure; wound healing; inner ear receptor cell stereocilium organization; ureteric bud development; negative regulation of T cell proliferation; positive regulation of stress fiber assembly; positive regulation of focal adhesion assembly","membrane; extracellular region; plasma membrane; lysosomal lumen; Golgi lumen; focal adhesion; costamere","protein binding; identical protein binding; fibronectin binding; protein kinase C binding",TRUE,TRUE,TRUE,FALSE,3,"extracellular",12
"P31948","STIP1",0.536782178550087,0.124351699438238,8,95,0.199499177470171,45,0.83,45,47,"robust_candidate","STIP1","stress induced phosphoprotein 1 [Source:HGNC Symbol;Acc:HGNC:11387]","","nucleus; cytoplasm; protein-containing complex; protein folding chaperone complex; cytosol; Golgi apparatus","protein binding; RNA binding; Hsp90 protein binding",FALSE,FALSE,FALSE,FALSE,0,"intracellular",2
"P35579","MYH9",0.437691410362646,0.0911323355978355,14,199.494337144337,0.237194085907899,42,0.31,41,42,"robust_candidate","MYH9","myosin heavy chain 9 [Source:HGNC Symbol;Acc:HGNC:7579]","protein transport; membrane protein ectodomain proteolysis; cell adhesion; angiogenesis; regulation of cell shape; plasma membrane repair; actin cytoskeleton organization; integrin-mediated signaling pathway; cytoskeleton organization; regulated exocytosis; leukocyte migration; symbiont entry into host cell; cytokinetic process; regulation of actin filament-based process; actomyosin structure organization; lysosome localization; actin filament-based movement; blood vessel endothelial cell migration; monocyte differentiation; platelet formation; phagocytosis, engulfment; positive regulation of protein processing in phagocytic vesicle; regulation of plasma membrane repair; meiotic spindle organization; in utero embryonic development; establishment of T cell polarity; myoblast fusion; uropod organization; cell motility; establishment of meiotic spindle localization; cytoplasmic actin-based contraction involved in cell motility; cell-cell adhesion; cell morphogenesis; endodermal cell differentiation; cortical granule exocytosis; negative regulation of actin filament severing","myosin complex; nucleus; cytoplasm; plasma membrane; membrane; cytosol; cytoskeleton; focal adhesion; nuclear body; cytoplasmic vesicle; actin cytoskeleton; stress fiber; COP9 signalosome; cell cortex; protein-containing complex; ruffle; cell leading edge; cortical granule; supramolecular fiber; myosin II complex; myosin filament; actomyosin; immunological synapse; uropod; Golgi apparatus; spindle; actomyosin contractile ring; brush border; adherens junction; cytoplasmic side of plasma membrane; cortical cytoskeleton; neuromuscular junction; myosin II filament","ATP binding; protein binding; actin filament binding; cytoskeletal motor activity; RNA binding; nucleotide binding; actin binding; calmodulin binding; integrin binding; protein homodimerization activity; identical protein binding; virus receptor activity; protein domain specific binding; microfilament motor activity; cadherin binding; protein-membrane adaptor activity; ADP binding",TRUE,TRUE,TRUE,TRUE,4,"membrane",7
"P35613","BSG",0.453520325806487,0.0549877346132674,4,0,0.121466522872591,60,0,60,60,"robust_candidate","BSG","basigin (Ok blood group) [Source:HGNC Symbol;Acc:HGNC:1116]","angiogenesis; symbiont entry into host cell; neutrophil chemotaxis; protein localization to plasma membrane; cell surface receptor signaling pathway; axon guidance; homophilic cell adhesion via plasma membrane adhesion molecules; dendrite self-avoidance; neuron projection extension; embryo implantation; odontogenesis of dentin-containing tooth; response to peptide hormone; response to mercury ion; decidualization; response to cAMP; neural retina development; positive regulation of endothelial cell migration; positive regulation of viral entry into host cell; endothelial tube morphogenesis; positive regulation of matrix metallopeptidase secretion","plasma membrane; membrane; cell projection; endosome; mitochondrion; focal adhesion; endoplasmic reticulum; endoplasmic reticulum membrane; photoreceptor outer segment; photoreceptor inner segment; axon; acrosomal membrane","protein binding; carbohydrate binding; D-mannose binding; virus receptor activity; signaling receptor activity; cadherin binding; cell-cell adhesion mediator activity",FALSE,TRUE,TRUE,FALSE,2,"membrane",11
"P43121","MCAM",4.39409970059906,0.000912067993950594,4,1.40725108225108,0.552547131619038,11,0.64,10,12,"robust_candidate","MCAM","melanoma cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:6934]","cell adhesion; glomerular filtration; angiogenesis; anatomical structure morphogenesis; vascular wound healing; positive regulation of cell migration","membrane; focal adhesion; plasma membrane; extracellular region; extracellular space","protein binding; laminin receptor activity",FALSE,TRUE,TRUE,FALSE,2,"extracellular",9
"P51149","RAB7A",0.297997833210797,0.199740744985599,6,0,0.109773908466247,62,0.45,61,63,"robust_candidate","RAB7A","RAB7A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9788]","lipid metabolic process; lipid catabolic process; autophagy; early endosome to late endosome transport; protein transport; retrograde transport, endosome to Golgi; positive regulation of exosomal secretion; autophagosome assembly; response to bacterium; protein localization to lysosome; phagosome-lysosome fusion; negative regulation of exosomal secretion; negative regulation of intralumenal vesicle formation; endosome to lysosome transport; protein to membrane docking; endocytosis; positive regulation of protein catabolic process; protein targeting to lysosome; epidermal growth factor catabolic process; viral release from host cell; positive regulation of viral process; lipophagy; phagosome maturation; phagosome acidification; establishment of vesicle localization; vesicle-mediated transport in synapse","membrane; cytosol; endosome; endosome membrane; mitochondrion; cytoplasmic vesicle; mitochondrial membrane; lysosome; late endosome; lysosomal membrane; phagocytic vesicle membrane; lipid droplet; plasma membrane; late endosome membrane; melanosome membrane; phagocytic vesicle; retromer complex; bounding membrane of organelle; autophagosome membrane; secretory granule membrane; synaptic vesicle membrane; glutamatergic synapse; cytoplasm; Golgi apparatus; phagophore assembly site membrane; alveolar lamellar body","GTPase activity; GTP binding; protein binding; hydrolase activity; nucleotide binding; G protein activity; retromer complex binding; GDP binding; small GTPase binding",TRUE,FALSE,FALSE,FALSE,1,"membrane",15
"P52292","KPNA2",1.49840356038263,0.0283347449377956,2,0,0.192079363218904,48,2.11,44,51,"weight_sensitive_candidate","KPNA2","karyopherin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:6395]","protein import into nucleus; protein transport; positive regulation of DNA-templated transcription; entry of viral genome into host nucleus through nuclear pore complex via importin; positive regulation of viral life cycle; NLS-bearing protein import into nucleus; DNA metabolic process; regulation of DNA recombination","cytoplasm; nucleus; membrane; Golgi apparatus; cytosol; nucleoplasm; endoplasmic reticulum; endoplasmic reticulum membrane; nuclear membrane; host cell","protein binding; nuclear import signal receptor activity; RNA binding; nuclear localization sequence binding; histone deacetylase binding",FALSE,FALSE,FALSE,FALSE,0,"intracellular",4
