"UNIPROT","Symbol","logFC","adj.P.Val","degree","betweenness","CDS","rank_base","rank_sd","rank_min","rank_max","robustness_label"
"P02751","FN1",5.71190413653133,3.23875287666273e-05,36,301.48716075686,0.907275336207019,1,0,1,1,"robust_candidate"
"P62805","H4C6",4.15574860143037,0.000160682799214974,62,174.390325026102,0.771630971784527,2,0,2,2,"robust_candidate"
"P16104","H2AX",3.90977239816424,4.90185350892489e-05,54,188.097285067873,0.759617831877647,3,0,3,3,"robust_candidate"
"Q71UI9","H2AZ2",4.43361611115072,0.000160682799214974,52,0.196108597285068,0.737628015356822,4,0,4,4,"robust_candidate"
"P17301","ITGA2",3.94950109445937,4.56355346937978e-05,22,35.6218145321771,0.689427505194107,5,0,5,5,"robust_candidate"
"P05556","ITGB1",3.05007125354915,6.47675261860327e-05,36,253.391628922579,0.653018365402943,6,0,6,6,"robust_candidate"
"P26006","ITGA3",3.22575578432546,4.77074827847492e-05,20,29.9531443135068,0.615239988292851,7,0,7,7,"robust_candidate"
"P68431","H3C1",3.43232626918039,0.0715891138917385,60,31.1760393118159,0.590865283927494,8,0.41,8,9,"robust_candidate"
"P06702","S100A9",-4.8102987477412,0.000157989556201923,2,0,0.575030667580914,9,0.6,8,10,"robust_candidate"
"P06756","ITGAV",2.30490813666285,0.000216355170911548,32,210.265510596461,0.556693589287674,10,0.79,9,12,"robust_candidate"
"P43121","MCAM",4.39409970059906,0.000912067993950594,4,1.40725108225108,0.552547131619038,11,0.64,10,12,"robust_candidate"
"P06748","NPM1",3.31134523684286,0.00863742369297787,16,149.658097839962,0.54121241717814,12,0.37,11,12,"robust_candidate"
"O00468","AGRN",2.97574090601907,0.000154600782520307,10,0.333333333333333,0.499976901800435,13,0.59,13,15,"robust_candidate"
"P16144","ITGB4",1.98351511288602,0.000273634882900169,22,130.628560563923,0.494733180643667,14,0.72,13,15,"robust_candidate"
"O95466","FMNL1",3.78945162134343,0.000808132679468916,4,0,0.491223014882734,15,1.02,13,17,"robust_candidate"
"P16070","CD44",1.70946175156405,0.000708128751407232,32,208.434558215509,0.483750355293662,16,0.77,14,18,"robust_candidate"
"P11047","LAMC1",2.1503320550259,0.000154937358266977,18,1.78253968253968,0.469201209712569,17,0.89,16,19,"robust_candidate"
"P55268","LAMB2",2.97025364331254,0.00696998449304999,16,0.333333333333333,0.468667857340103,18,0.57,17,19,"robust_candidate"
"P31431","SDC4",3.50413506464376,0.0042667087774112,6,0,0.461815906048611,19,1.21,16,22,"robust_candidate"
"P98160","HSPG2",2.11658801495104,0.000293919518724457,16,5.62285898855666,0.45666558385913,20,0.64,18,21,"robust_candidate"
"Q14103","HNRNPD",-2.66041495386855,0.0710203433165112,12,630.628735863619,0.444091393386107,21,0.59,20,23,"robust_candidate"
"P23229","ITGA6",1.56154925940134,0.000422556994861413,22,30.2864776468401,0.435864359949147,22,0.59,20,23,"robust_candidate"
"P60709","ACTB",0.553264694573404,0.0491781695084405,104,2978.78738973523,0.415529521425563,23,0.49,21,23,"robust_candidate"
"Q08431","MFGE8",2.35691253763335,0.000362962488891334,4,0,0.373891147685226,24,0.66,24,26,"robust_candidate"
"Q71U36","TUBA1A",2.03928735792322,0.00863742369297787,8,30.2380952380952,0.367510744997976,25,0.6,24,27,"robust_candidate"
"P61586","RHOA",0.893185020661484,0.0209950607597007,30,383.669891367871,0.357414616980802,26,1.27,24,29,"robust_candidate"
"P08134","RHOC",1.27506274532785,0.00334945325671794,14,71.0295454545454,0.355872335832977,27,0.73,25,28,"robust_candidate"
"P21926","CD9",-1.67772995643685,0.0436006914192415,18,8.94920634920635,0.348949336154991,28,0.55,27,29,"robust_candidate"
"P61769","B2M",2.26227011810693,0.000165249161826686,2,0,0.34303414140783,29,1.48,26,31,"robust_candidate"
"P23528","CFL1",1.08753009426028,0.00368134428070063,14,55.5711245573395,0.335052128361488,30,0.65,29,31,"robust_candidate"
"P18827","SDC1",-2.09656178108388,0.35738145382966,14,4.87380952380952,0.332493704087498,31,0.69,29,31,"robust_candidate"
"P68363","TUBA1B",1.19069343476805,0.00264938841860455,8,30.2380952380952,0.309233724821035,32,0.47,32,33,"robust_candidate"
"P14923","JUP",-2.21089909884426,0.0014388081177562,2,0,0.30403620264859,33,1.64,32,38,"weight_sensitive_candidate"
"P07737","PFN1",1.07587436041013,0.0312193034731491,14,49.4394192256342,0.298985541414861,34,0.55,33,35,"robust_candidate"
"O15144","ARPC2",-1.35812689941895,0.00126175095051445,6,0.95,0.292708439903237,35,0.72,34,37,"robust_candidate"
"Q12792","TWF1",-1.46272632617664,0.00325212603292579,6,1,0.287422139567542,36,0.88,36,39,"robust_candidate"
"Q9Y265","RUVBL1",0.273586231404206,0.640775003789487,60,190.629818669713,0.286354631311035,37,1.69,32,38,"weight_sensitive_candidate"
"P01111","NRAS",1.48801438346512,0.372305707489942,10,31.3794082345484,0.27175249180383,38,0.94,37,40,"robust_candidate"
"P84243","H3-3B",0.642805543313333,0.798321144016878,54,2.43498907741737,0.271066782970251,39,1.1,35,40,"robust_candidate"
"Q9Y230","RUVBL2",0.198600308993019,0.726050198640517,56,130.514386836521,0.269369716735172,40,1.3,36,40,"robust_candidate"
"Q08722","CD47",0.976813900687574,0.0325607108953137,12,0,0.24228026971446,41,0.31,41,42,"robust_candidate"
"P35579","MYH9",0.437691410362646,0.0911323355978355,14,199.494337144337,0.237194085907899,42,0.31,41,42,"robust_candidate"
"P11940","PABPC1",0.517935421774801,0.174880670574225,12,279.5,0.227597441788642,43,0,43,43,"robust_candidate"
"P0DP25","CALM3",-0.34421792054308,0.235988097217771,16,63.0993769302593,0.211276464348143,44,0.49,44,46,"robust_candidate"
"P31948","STIP1",0.536782178550087,0.124351699438238,8,95,0.199499177470171,45,0.83,45,47,"robust_candidate"
"P61088","UBE2N",1.00647390740892,0.181752591730059,4,95,0.196125861999164,46,0.94,45,48,"robust_candidate"
"P26599","PTBP1",-0.766290933983903,0.0946828648384656,8,2.5,0.193142152291116,47,0.67,46,48,"robust_candidate"
"P52292","KPNA2",1.49840356038263,0.0283347449377956,2,0,0.192079363218904,48,2.11,44,51,"weight_sensitive_candidate"
"P62873","GNB1",0.722785871677132,0.0497436684950498,6,6.14855275443511,0.189104903997156,49,0.45,48,50,"robust_candidate"
"P16671","CD36",-0.261180305008047,0.613529932435999,14,95,0.18390966611243,50,1.18,47,51,"robust_candidate"
"P52565","ARHGDIA",0.854389730062699,0.0170958130397314,4,0,0.176388726386393,51,1.39,50,54,"robust_candidate"
"P62826","RAN",0.501775249638168,0.181866091758819,6,95,0.173193935773952,52,0.51,51,53,"robust_candidate"
"P62993","GRB2",0.34384955984094,0.349628977781601,10,45.9329684375512,0.172426487858588,53,1.02,50,53,"robust_candidate"
"P28482","MAPK1",0.131577872102902,0.654468952507214,12,142.939253883371,0.165240604355345,54,0.95,52,56,"robust_candidate"
"Q15185","PTGES3",0.498961498046647,0.470752272774601,8,26.1190476190476,0.162915926183631,55,0.73,54,57,"robust_candidate"
"Q14204","DYNC1H1",0.184863940489038,0.488756911015193,10,101.02380952381,0.160069842880499,56,0.7,55,58,"robust_candidate"
"O00159","MYO1C",-0.0673810971478233,0.763934098263432,12,141.297437133652,0.156850580482871,57,0.99,56,59,"robust_candidate"
"Q13813","SPTAN1",0.483220684943696,0.170824112614418,8,1.24166666666667,0.153845704285591,58,0.46,57,59,"robust_candidate"
"O14907","TAX1BP3",-0.914968319307427,0.0121154556552722,2,0,0.152600655874197,59,1.8,54,59,"weight_sensitive_candidate"
"P35613","BSG",0.453520325806487,0.0549877346132674,4,0,0.121466522872591,60,0,60,60,"robust_candidate"
"P30153","PPP2R1A",0.691686750544797,0.0383105738920348,2,0,0.114068276710325,61,0.66,61,63,"robust_candidate"
"P51149","RAB7A",0.297997833210797,0.199740744985599,6,0,0.109773908466247,62,0.45,61,63,"robust_candidate"
"Q15366","PCBP2",0.491318411631759,0.687436296610755,6,0,0.107712479933986,63,0.52,61,63,"robust_candidate"
"O15511","ARPC5",-0.549641408268869,0.315129074224031,4,0,0.102492086202158,64,0,64,64,"robust_candidate"
"P23588","EIF4B",0.574526441233903,0.466113663598838,4,0,0.0985403463323908,65,0.31,65,66,"robust_candidate"
"Q14240","EIF4A2",0.288161805463993,0.645345560609303,6,0.5,0.0941329968490236,66,0.31,65,66,"robust_candidate"
"O00571","DDX3X",0.415603403972018,0.548724292840006,4,0,0.0815262155741373,67,0.44,67,68,"robust_candidate"
"O60610","DIAPH1",-0.0515909629482678,0.913943393471097,8,0,0.080376298204843,68,0.67,67,70,"robust_candidate"
"P67936","TPM4",-0.168809684631039,0.71889876674394,4,6.29484126984127,0.0737496712666727,69,0.39,68,70,"robust_candidate"
"P26368","U2AF2",-0.326217418369012,0.618335529585652,4,0,0.0715177674142549,70,0.39,69,71,"robust_candidate"
"P54652","HSPA2",-0.454695232590478,0.210896570971856,2,0,0.065495591768782,71,0.45,69,71,"robust_candidate"
"Q9Y266","NUDC",-0.0166273068367495,0.97540075271597,4,3.61904761904762,0.0507463271412047,72,0,72,72,"robust_candidate"
"P54725","RAD23A",-0.00389867251994147,0.992709140420354,2,0,0,73,0,73,73,"robust_candidate"
